Term 1	Term 2	Term 3	Frequency of Trigram	Frequency of Context	Conditional Probability of Trigram
,	sino	que	2	3	0.6666666666666666
$	Chale	#	2	3	0.6666666666666666
planes	tienes	para	2	2	1.0
tienes	para	hoy	2	2	1.0
$	Me	imagino	2	31	0.06451612903225806
Me	imagino	que	2	2	1.0
imagino	que	no	2	7	0.2857142857142857
$	me	gusta	2	58	0.034482758620689655
de	eso	no	2	6	0.3333333333333333
,	a	ver	2	9	0.2222222222222222
ver	que	sale	2	5	0.4
que	sale	#	2	2	1.0
algo	interesante	#	2	2	1.0
me	llama	la	2	2	1.0
llama	la	atención	2	2	1.0
,	y	ya	2	18	0.1111111111111111
que	prefieres	?	2	2	1.0
$	Vamos	a	2	2	1.0
me	dan	ganas	2	2	1.0
dan	ganas	de	2	2	1.0
ese	es	el	2	2	1.0
el	problema	#	2	4	0.5
no	se	prestan	2	24	0.08333333333333333
$	he	estado	2	5	0.4
da	pena	👉	2	6	0.3333333333333333
me	imagino	#	2	11	0.18181818181818182
$	Jsjsjs	#	2	2	1.0
$	Vaya	,	2	6	0.3333333333333333
$	Yo	también	2	32	0.0625
can	imagine	#	2	2	1.0
íbamos	a	la	2	2	1.0
que	tienes	razón	2	6	0.3333333333333333
que	para	mi	2	2	1.0
$	por	si	2	17	0.11764705882352941
por	si	gustas	2	5	0.4
$	😔	#	2	2	1.0
$	how's	it	2	2	1.0
how's	it	going	2	2	1.0
$	Vaya	...	2	6	0.3333333333333333
Vaya	...	#	2	2	1.0
esta	semana	,	2	3	0.6666666666666666
hmm	no	lo	2	3	0.6666666666666666
$	tu	?	2	6	0.3333333333333333
carrera	?	#	2	2	1.0
por	qué	?	2	16	0.125
$	nicee	#	2	2	1.0
pero	no	es	2	17	0.11764705882352941
que	se	me	2	16	0.125
$	realmente	no	2	7	0.2857142857142857
que	sí	,	2	24	0.08333333333333333
,	pero	creo	2	33	0.06060606060606061
$	y	en	2	50	0.04
trabajar	?	#	2	2	1.0
a	mi	profesora	2	26	0.07692307692307693
that	xd	#	2	2	1.0
,	no	es	2	40	0.05
$	la	primera	2	22	0.09090909090909091
$	y	por	2	50	0.04
$	pero	se	2	57	0.03508771929824561
$	es	un	2	27	0.07407407407407407
no	se	que	2	24	0.08333333333333333
se	que	onda	2	3	0.6666666666666666
que	hacer	?	2	6	0.3333333333333333
hacer	?	#	2	2	1.0
se	supone	#	2	4	0.5
pero	no	sé	2	17	0.11764705882352941
no	sé	como	2	22	0.09090909090909091
Ya	veo	#	2	5	0.4
$	hows	it	2	2	1.0
$	yo	no	2	45	0.044444444444444446
$	sí	xd	2	22	0.09090909090909091
$	casi	siempre	2	4	0.5
de	12	a	2	2	1.0
$	Nope	#	2	2	1.0
da	pena	#	2	6	0.3333333333333333
$	Por	qué	2	11	0.18181818181818182
$	Y	el	2	26	0.07692307692307693
en	la	secundaria	2	27	0.07407407407407407
$	Y	me	2	26	0.07692307692307693
Me	da	flojera	2	6	0.3333333333333333
$	me	#	2	58	0.034482758620689655
$	Hace	poco	2	5	0.4
$	Así	mero	2	10	0.2
$	A	punto	2	22	0.09090909090909091
A	punto	de	2	2	1.0
look	cute	#	2	2	1.0
$	Que	harás	2	49	0.04081632653061224
Que	harás	en	2	2	1.0
$	Voy	a	2	3	0.6666666666666666
pasarla	con	mi	2	2	1.0
mi	papá	#	2	4	0.5
6	de	agosto	2	2	1.0
cumpleaños	?	#	2	2	1.0
te	voy	a	2	2	1.0
$	Pero	el	2	34	0.058823529411764705
👌	🏻	#	2	2	1.0
Es	que	es	2	9	0.2222222222222222
que	es	de	2	24	0.08333333333333333
Me	alegro	:)	2	5	0.4
a	mi	familia	2	26	0.07692307692307693
,	pero	ya	2	33	0.06060606060606061
,	en	la	2	5	0.4
el	clima	#	2	3	0.6666666666666666
que	más	o	2	5	0.4
Creo	que	sí	2	7	0.2857142857142857
que	sí	es	2	24	0.08333333333333333
feo	xd	#	2	2	1.0
pretty	much	#	2	2	1.0
$	i	guess	2	7	0.2857142857142857
$	vale	#	2	2	1.0
creo	que	hay	2	50	0.04
que	hay	un	2	6	0.3333333333333333
$	no	tengo	2	89	0.02247191011235955
$	Al	rato	2	4	0.5
$	0_0	#	2	2	1.0
de	que	había	2	37	0.05405405405405406
rato	en	el	2	3	0.6666666666666666
mandé	a	mi	2	2	1.0
,	pero	nada	2	33	0.06060606060606061
me	iba	a	2	3	0.6666666666666666
$	que	flojera	2	86	0.023255813953488372
eso	sí	está	2	4	0.5
te	digo	que	2	2	1.0
que	iba	a	2	2	1.0
$	te	los	2	22	0.09090909090909091
$	que	le	2	86	0.023255813953488372
bueno	,	y	2	12	0.16666666666666666
,	y	el	2	18	0.1111111111111111
$	De	que	2	6	0.3333333333333333
De	que	?	2	2	1.0
nunca	lo	he	2	2	1.0
,	tengo	una	2	4	0.5
desde	la	semana	2	3	0.6666666666666666
la	semana	pasada	2	4	0.5
que	le	pasó	2	7	0.2857142857142857
$	a	,	2	34	0.058823529411764705
,	my	bad	2	2	1.0
maestra	xd	#	2	2	1.0
$	aunque	ya	2	8	0.25
y	terminas	siendo	2	2	1.0
te	invito	a	2	2	1.0
,	cual	es	2	3	0.6666666666666666
me	lo	imagino	2	11	0.18181818181818182
tú	que	haces	2	7	0.2857142857142857
que	haces	?	2	3	0.6666666666666666
voy	a	poner	2	19	0.10526315789473684
a	poner	a	2	4	0.5
creo	que	#	2	50	0.04
de	calculo	,	2	3	0.6666666666666666
$	quien	te	2	3	0.6666666666666666
materia	?	#	2	2	1.0
pero	se	me	2	6	0.3333333333333333
$	Más	o	2	4	0.5
dormir	?	#	2	2	1.0
$	im	in	2	2	1.0
sueño	?	#	2	2	1.0
$	y	no	2	50	0.04
