Term 1	Term 2	Term 3	Frequency of Trigram	Frequency of Context	Conditional Probability of Trigram
hora	voy	a	1	1	1.0
a	ir	jajaja	1	6	0.16666666666666666
$	Te	aviso	1	2	0.5
Te	aviso	si	1	1	1.0
aviso	si	voy	1	1	1.0
si	voy	también	1	1	1.0
voy	también	a	1	1	1.0
también	a	las	1	1	1.0
las	3	o	1	2	0.5
3	o	antes	1	1	1.0
o	antes	camarada	1	1	1.0
antes	camarada	#	1	1	1.0
Voy	a	ir	1	3	0.3333333333333333
a	ir	en	1	6	0.16666666666666666
ir	en	unos	1	1	1.0
$	Gusta	que	1	1	1.0
Gusta	que	pase	1	1	1.0
que	pase	por	1	1	1.0
pase	por	usted	1	1	1.0
por	usted	?	1	8	0.125
usted	?	#	1	1	1.0
Como	a	qué	1	2	0.5
qué	hora	estás	1	8	0.125
hora	estás	lista	1	1	1.0
estás	lista	?	1	1	1.0
lista	?	#	1	1	1.0
$	Solo	agarro	1	1	1.0
Solo	agarro	mis	1	1	1.0
agarro	mis	cosas	1	1	1.0
mis	cosas	y	1	1	1.0
cosas	y	voy	1	1	1.0
creo	que	acudiré	1	4	0.25
que	acudiré	como	1	1	1.0
acudiré	como	1:30	1	1	1.0
como	1:30	#	1	3	0.3333333333333333
$	Si	gusta	1	2	0.5
Si	gusta	paso	1	1	1.0
gusta	paso	por	1	1	1.0
$	Voy	en	1	5	0.2
Voy	en	unos	1	1	1.0
parece	adecuado	mi	1	3	0.3333333333333333
adecuado	mi	estimado	1	1	1.0
$	Nada	vas	1	1	1.0
Nada	vas	voy	1	1	1.0
vas	voy	rapido	1	1	1.0
voy	rapido	al	1	1	1.0
rapido	al	baño	1	1	1.0
al	baño	#	1	2	0.5
$	Y	me	1	5	0.2
Y	me	lanzo	1	1	1.0
me	lanzo	por	1	1	1.0
lanzo	por	isted	1	1	1.0
por	isted	#	1	1	1.0
$	Jijo	mano	1	3	0.3333333333333333
Jijo	mano	#	1	1	1.0
$	La	verdad	1	1	1.0
La	verdad	la	1	1	1.0
verdad	la	verdad	1	1	1.0
la	verdad	#	1	1	1.0
$	No	tengo	1	8	0.125
No	tengo	ganas	1	1	1.0
tengo	ganas	de	1	1	1.0
ganas	de	ir	1	1	1.0
de	ir	JAJAJA	1	2	0.5
ir	JAJAJA	#	1	1	1.0
mucha	gente	?	1	3	0.3333333333333333
gente	?	#	1	1	1.0
$	Y	arriba	1	5	0.2
Y	arriba	hay	1	1	1.0
arriba	hay	muchos	1	1	1.0
hay	muchos	?	1	1	1.0
muchos	?	#	1	1	1.0
$	Ya	me	1	31	0.03225806451612903
Ya	me	andas	1	1	1.0
me	andas	convenciendo	1	1	1.0
andas	convenciendo	de	1	1	1.0
convenciendo	de	ir	1	1	1.0
de	ir	jajaja	1	2	0.5
Voy	a	pensarlo	1	3	0.3333333333333333
a	pensarlo	#	1	1	1.0
$	Ya	a	1	31	0.03225806451612903
Ya	a	partir	1	1	1.0
a	partir	de	1	1	1.0
partir	de	ahorita	1	1	1.0
de	ahorita	se	1	1	1.0
ahorita	se	va	1	1	1.0
ir	hasta	las	1	2	0.5
hasta	las	4-4:30	1	1	1.0
las	4-4:30	#	1	1	1.0
usted	como	a	1	3	0.3333333333333333
las	2	camarada	1	4	0.25
2	camarada	?	1	1	1.0
camarada	?	#	1	1	1.0
