Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
$	después	5	3186	0.001569365976145637
$	""""	5	3186	0.001569365976145637
yep	,	5	14	0.35714285714285715
$	:0	5	3186	0.001569365976145637
:0	#	5	7	0.7142857142857143
ni	modo	5	13	0.38461538461538464
modo	#	5	6	0.8333333333333334
haces	?	5	9	0.5555555555555556
yo	tengo	5	86	0.05813953488372093
tengo	#	5	45	0.1111111111111111
Ya	veo	5	30	0.16666666666666666
por	que	5	109	0.045871559633027525
y	luego	5	191	0.02617801047120419
te	la	5	158	0.03164556962025317
jajaja	,	5	60	0.08333333333333333
$	Hace	5	3186	0.001569365976145637
punto	de	5	8	0.625
vamos	a	5	9	0.5555555555555556
No	te	5	40	0.125
de	un	5	499	0.01002004008016032
mi	familia	5	92	0.05434782608695652
que	más	5	696	0.007183908045977011
bueno	es	5	26	0.19230769230769232
el	de	5	224	0.022321428571428572
no	puedo	5	341	0.01466275659824047
sí	está	5	78	0.0641025641025641
mucho	#	5	47	0.10638297872340426
que	hoy	5	696	0.007183908045977011
en	linea	5	240	0.020833333333333332
igual	y	5	16	0.3125
nada	de	5	31	0.16129032258064516
que	#	5	696	0.007183908045977011
$	good	5	3186	0.001569365976145637
$	osea	5	3186	0.001569365976145637
osea	,	5	6	0.8333333333333334
fue	el	5	24	0.20833333333333334
algo	#	5	46	0.10869565217391304
así	#	5	40	0.125
que	a	5	696	0.007183908045977011
experiencia	#	5	7	0.7142857142857143
$	bien	5	3186	0.001569365976145637
$	con	5	3186	0.001569365976145637
dos	semanas	5	26	0.19230769230769232
)	#	5	8	0.625
toda	la	5	9	0.5555555555555556
""""	""""	5	57	0.08771929824561403
no	,	5	341	0.01466275659824047
a	punto	5	359	0.013927576601671309
,	entonces	5	525	0.009523809523809525
$	what's	5	3186	0.001569365976145637
los	profes	5	93	0.053763440860215055
$	mi	5	3186	0.001569365976145637
es	tu	5	166	0.030120481927710843
A	mí	5	23	0.21739130434782608
,	verdad	5	525	0.009523809523809525
va	#	5	33	0.15151515151515152
$	más	5	3186	0.001569365976145637
realmente	#	5	22	0.22727272727272727
día	#	5	23	0.21739130434782608
sí	se	5	78	0.0641025641025641
$	descansa	5	3186	0.001569365976145637
de	semana	5	499	0.01002004008016032
día	?	5	23	0.21739130434782608
recuerdo	que	5	9	0.5555555555555556
tarea	#	5	10	0.5
,	si	5	525	0.009523809523809525
rato	que	5	18	0.2777777777777778
hasta	el	5	16	0.3125
dicen	que	5	11	0.45454545454545453
mal	#	5	18	0.2777777777777778
hora	#	5	11	0.45454545454545453
