Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
$	hoy	3	1206	0.0024875621890547263
no	tiene	3	161	0.018633540372670808
te	falta	3	74	0.04054054054054054
$	perdón	3	1206	0.0024875621890547263
smn	,	3	10	0.3
vi	que	3	6	0.5
$	mejor	3	1206	0.0024875621890547263
$	también	3	1206	0.0024875621890547263
$	ada	3	1206	0.0024875621890547263
$	mira	3	1206	0.0024875621890547263
mira	#	3	5	0.6
mal	#	3	11	0.2727272727272727
$	sí	3	1206	0.0024875621890547263
lo	iba	3	74	0.04054054054054054
compañero	#	3	4	0.75
$	como	3	1206	0.0024875621890547263
ah	,	3	7	0.42857142857142855
ada	#	3	10	0.3
el	lunes	3	127	0.023622047244094488
lunes	#	3	3	1.0
,	lo	3	76	0.039473684210526314
ver	si	3	10	0.3
si	ya	3	64	0.046875
ver	que	3	10	0.3
API	#	3	7	0.42857142857142855
la	tabla	3	108	0.027777777777777776
hecho	#	3	5	0.6
$	neta	3	1206	0.0024875621890547263
we	kkkkk	3	108	0.027777777777777776
que	sí	3	211	0.014218009478672985
$	entonces	3	1206	0.0024875621890547263
te	aviso	3	74	0.04054054054054054
te	fuiste	3	74	0.04054054054054054
cómprame	bonles	3	5	0.6
me	las	3	61	0.04918032786885246
generador	de	3	5	0.6
de	texto	3	157	0.01910828025477707
🚬	#	3	3	1.0
te	pido	3	74	0.04054054054054054
cosas	#	2	6	0.3333333333333333
$	foto	2	1206	0.001658374792703151
la	del	2	108	0.018518518518518517
debería	estar	2	3	0.6666666666666666
lo	tienes	2	74	0.02702702702702703
rato	en	2	10	0.2
libre	para	2	2	1.0
el	profe	2	127	0.015748031496062992
profe	#	2	4	0.5
viendo	qp	2	4	0.5
si	meto	2	64	0.03125
que	estoy	2	211	0.009478672985781991
me	da	2	61	0.03278688524590164
da	culo	2	4	0.5
sis	,	2	4	0.5
a	esa	2	119	0.01680672268907563
esa	hora	2	9	0.2222222222222222
por	qué	2	22	0.09090909090909091
$	tengo	2	1206	0.001658374792703151
$	🙏	2	1206	0.001658374792703151
$	lol	2	1206	0.001658374792703151
$	cuando	2	1206	0.001658374792703151
de	fepi	2	157	0.012738853503184714
fines	de	2	2	1.0
de	lucro	2	157	0.012738853503184714
la	mierda	2	108	0.018518518518518517
flores	#	2	2	1.0
eso	no	2	28	0.07142857142857142
$	mañana	2	1206	0.001658374792703151
hablar	con	2	5	0.4
en	clase	2	76	0.02631578947368421
q	onda	2	17	0.11764705882352941
ya	ya	2	73	0.0273972602739726
ya	?	2	73	0.0273972602739726
$	nomas	2	1206	0.001658374792703151
con	un	2	47	0.0425531914893617
y	no	2	65	0.03076923076923077
$	falso	2	1206	0.001658374792703151
$	thx	2	1206	0.001658374792703151
thx	#	2	2	1.0
$	kkkkkkk	2	1206	0.001658374792703151
kkkkkkk	#	2	2	1.0
vez	que	2	7	0.2857142857142857
le	voy	2	23	0.08695652173913043
hablar	#	2	5	0.4
si	me	2	64	0.03125
facil	#	2	2	1.0
$	tú	2	1206	0.001658374792703151
no	,	2	161	0.012422360248447204
,	eso	2	76	0.02631578947368421
la	he	2	108	0.018518518518518517
q	?	2	17	0.11764705882352941
vi	we	2	6	0.3333333333333333
lab	#	2	3	0.6666666666666666
ya	tienes	2	73	0.0273972602739726
 	de	2	5	0.4
de	 	2	157	0.012738853503184714
ni	pedo	2	13	0.15384615384615385
depa	#	2	2	1.0
ver	qp	2	10	0.2
😹	😹	2	3	0.6666666666666666
!	#	2	11	0.18181818181818182
más	#	2	16	0.125
$	espero	2	1206	0.001658374792703151
espero	que	2	3	0.6666666666666666
no	quiero	2	161	0.012422360248447204
me	cae	2	61	0.03278688524590164
sis	#	2	4	0.5
cawn	#	2	2	1.0
nmms	we	2	6	0.3333333333333333
$	esto	2	1206	0.001658374792703151
te	los	2	74	0.02702702702702703
$	este	2	1206	0.001658374792703151
este	wey	2	5	0.4
$	cuantos	2	1206	0.001658374792703151
te	dije	2	74	0.02702702702702703
dije	que	2	3	0.6666666666666666
que	tenías	2	211	0.009478672985781991
esa	la	2	9	0.2222222222222222
te	leo	2	74	0.02702702702702703
me	salen	2	61	0.03278688524590164
fuck	off	2	7	0.2857142857142857
off	#	2	2	1.0
$	cual	2	1206	0.001658374792703151
es	verdad	2	64	0.03125
se	de	2	43	0.046511627906976744
cuenta	#	2	5	0.4
mi	lap	2	25	0.08
verga	el	2	9	0.2222222222222222
$	my	2	1206	0.001658374792703151
12	#	2	2	1.0
$	onde	2	1206	0.001658374792703151
voy	#	2	16	0.125
sin	mi	2	8	0.25
me	acuerdo	2	61	0.03278688524590164
fuck	#	2	7	0.2857142857142857
alv	#	2	3	0.6666666666666666
la	primera	2	108	0.018518518518518517
no	está	2	161	0.012422360248447204
está	en	2	21	0.09523809523809523
la	misma	2	108	0.018518518518518517
y	que	2	65	0.03076923076923077
el	nav	2	127	0.015748031496062992
la	parte	2	108	0.018518518518518517
we	?	2	108	0.018518518518518517
hiciste	el	2	9	0.2222222222222222
lo	dejaste	2	74	0.02702702702702703
lo	vi	2	74	0.02702702702702703
a	cambiar	2	119	0.01680672268907563
,	y	2	76	0.02631578947368421
$	verga	2	1206	0.001658374792703151
pq	?	2	15	0.13333333333333333
push	?	2	7	0.2857142857142857
""""	destacado	2	6	0.3333333333333333
destacado	de	2	2	1.0
esta	semana	2	5	0.4
hacer	el	2	11	0.18181818181818182
eso	es	2	28	0.07142857142857142
