Term 1	Term 2	Term 3	Frequency of Trigram	Frequency of Context	Conditional Probability of Trigram
$	Crees	que	1	1	1.0
Crees	que	el	1	1	1.0
que	el	Kevin	1	1	1.0
el	Kevin	sepa	1	1	1.0
Kevin	sepa	?	1	1	1.0
sepa	?	#	1	1	1.0
$	Vavavav	#	1	1	1.0
No	vas	a	1	2	0.5
vas	a	venir	1	3	0.3333333333333333
a	venir	#	1	1	1.0
$	No	tenemos	1	16	0.0625
No	tenemos	gris	1	1	1.0
tenemos	gris	xdxdd	1	1	1.0
gris	xdxdd	#	1	1	1.0
$	Llevo	el	1	1	1.0
Llevo	el	nigha	1	1	1.0
el	nigha	#	1	1	1.0
$	Ya	voy	1	26	0.038461538461538464
Ya	voy	para	1	1	1.0
voy	para	allá	1	1	1.0
para	allá	#	1	1	1.0
$	We	estás	1	2	0.5
We	estás	en	1	1	1.0
estás	en	el	1	2	0.5
en	el	cantón	1	4	0.25
el	cantón	?	1	1	1.0
cantón	?	#	1	1	1.0
$	Podrías	buscar	1	1	1.0
Podrías	buscar	una	1	1	1.0
buscar	una	calculadora	1	1	1.0
una	calculadora	de	1	1	1.0
calculadora	de	ecuaciones	1	1	1.0
de	ecuaciones	diferenciales	1	1	1.0
ecuaciones	diferenciales	?	1	1	1.0
diferenciales	?	#	1	1	1.0
$	Uwu	#	1	1	1.0
$	Jajaja	#	1	1	1.0
$	Al	final	1	1	1.0
Al	final	no	1	1	1.0
final	no	fue	1	1	1.0
no	fue	el	1	1	1.0
fue	el	mismo	1	2	0.5
el	mismo	examen	1	1	1.0
mismo	examen	#	1	1	1.0
$	Bro	#	1	3	0.3333333333333333
$	POS	logré	1	1	1.0
POS	logré	dos	1	1	1.0
logré	dos	#	1	1	1.0
$	Me	reprobó	1	7	0.14285714285714285
Me	reprobó	un	1	1	1.0
reprobó	un	culero	1	1	1.0
un	culero	ajaja	1	1	1.0
culero	ajaja	#	1	1	1.0
$	Voy	a	1	4	0.25
Voy	a	checar	1	1	1.0
a	checar	un	1	1	1.0
checar	un	rato	1	1	1.0
un	rato	en	1	1	1.0
rato	en	la	1	1	1.0
$	Estás	en	1	1	1.0
Estás	en	la	1	1	1.0
Ya	ando	en	1	3	0.3333333333333333
ando	en	el	1	1	1.0
en	el	toreo	1	4	0.25
el	toreo	jajaja	1	1	1.0
toreo	jajaja	#	1	1	1.0
$	Orita	te	1	1	1.0
Orita	te	diho	1	1	1.0
te	diho	que	1	1	1.0
diho	que	pedo	1	1	1.0
que	pedo	#	1	1	1.0
$	5	)	1	2	0.5
5	)	#	1	1	1.0
$	B	)	1	1	1.0
B	)	la	1	1	1.0
)	la	integral	1	1	1.0
