Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
va	?	1	8	0.125
más	lleno	1	4	0.25
lleno	mi	1	1	1.0
mi	botella	1	12	0.08333333333333333
botella	#	1	1	1.0
Y	voy	1	5	0.2
Pero	corre	1	3	0.3333333333333333
corre	#	1	1	1.0
Que	ando	1	3	0.3333333333333333
ando	a	1	2	0.5
a	media	1	25	0.04
media	calle	1	2	0.5
calle	jajaja	1	2	0.5
va	hoy	1	8	0.125
como	1:20	1	10	0.1
1:20	le	1	1	1.0
le	parece	1	2	0.5
allá	camarada	1	6	0.16666666666666666
Ya	llegué	1	31	0.03225806451612903
llegué	#	1	1	1.0
$	Ando	1	161	0.006211180124223602
Ando	afuera	1	1	1.0
1:30	?	1	4	0.25
Le	parece	1	2	0.5
más	estoy	1	4	0.25
estoy	esperando	1	11	0.09090909090909091
esperando	que	1	2	0.5
que	Fer	1	12	0.08333333333333333
Fer	llegue	1	1	1.0
llegue	porque	1	1	1.0
porque	ella	1	2	0.5
ella	trae	1	1	1.0
trae	el	1	1	1.0
el	carro	1	4	0.25
carro	#	1	1	1.0
Ya	no	1	31	0.03225806451612903
no	tardó	1	7	0.14285714285714285
tardó	#	1	1	1.0
$	Tarda	1	161	0.006211180124223602
Tarda	*	1	1	1.0
10	pasó	1	3	0.3333333333333333
pasó	#	1	1	1.0
No	llega	1	8	0.125
llega	#	1	1	1.0
$	Perdón	1	161	0.006211180124223602
Perdón	hermanazo	1	1	1.0
$	Se	1	161	0.006211180124223602
Se	cancela	1	1	1.0
cancela	#	1	1	1.0
Ya	llego	1	31	0.03225806451612903
llego	#	1	2	0.5
$	Vpu	1	161	0.006211180124223602
Vpu	para	1	1	1.0
Buenas	#	1	3	0.3333333333333333
Le	gustaria	1	2	0.5
gustaria	que	1	1	1.0
que	acudamos	1	12	0.08333333333333333
acudamos	el	1	1	1.0
el	dia	1	4	0.25
dia	de	1	1	1.0
de	hoy	1	7	0.14285714285714285
hoy	1:15	1	8	0.125
1:15	más	1	4	0.25
más	o	1	4	0.25
o	menillos	1	3	0.3333333333333333
menillos	?	1	1	1.0
$	Hold	1	161	0.006211180124223602
Hold	on	1	1	1.0
on	bro	1	1	1.0
bro	#	1	1	1.0
Llego	como	1	2	0.5
1:30	por	1	4	0.25
unos	20	1	5	0.2
20	#	1	1	1.0
$	Ta	1	161	0.006211180124223602
Ta	bueno	1	1	1.0
bueno	hermano	1	1	1.0
hora	hoy	1	9	0.1111111111111111
hoy	,	1	8	0.125
,	mi	1	1	1.0
mi	hermano	1	12	0.08333333333333333
hermano	?	1	3	0.3333333333333333
Buenos	días	1	2	0.5
días	#	1	1	1.0
a	la	1	25	0.04
1:15	#	1	4	0.25
$	Estar	1	161	0.006211180124223602
Estar	allá	1	1	1.0
$	Porque	1	161	0.006211180124223602
Porque	hoy	1	1	1.0
hoy	va	1	8	0.125
a	tener	1	25	0.04
tener	que	1	1	1.0
que	ser	1	12	0.08333333333333333
ser	a	1	1	1.0
a	pie	1	25	0.04
pie	el	1	1	1.0
el	trayecto	1	4	0.25
trayecto	#	1	1	1.0
A	las	1	8	0.125
2	me	1	6	0.16666666666666666
me	parece	1	6	0.16666666666666666
parece	perfecto	1	7	0.14285714285714285
perfecto	#	1	1	1.0
hora	llegas	1	9	0.1111111111111111
llegas	a	1	1	1.0
a	tu	1	25	0.04
casa	del	1	2	0.5
del	alemán	1	1	1.0
alemán	?	1	1	1.0
Ya	ando	1	31	0.03225806451612903
ando	aquí	1	2	0.5
aquí	#	1	1	1.0
Yo	todavía	1	7	0.14285714285714285
todavía	no	1	1	1.0
no	sé	1	7	0.14285714285714285
sé	a	1	1	1.0
hora	voy	1	9	0.1111111111111111
Te	aviso	1	2	0.5
aviso	si	1	1	1.0
si	voy	1	3	0.3333333333333333
voy	también	1	20	0.05
también	a	1	1	1.0
3	o	1	2	0.5
o	antes	1	3	0.3333333333333333
antes	camarada	1	2	0.5
ir	en	1	9	0.1111111111111111
$	Gusta	1	161	0.006211180124223602
Gusta	que	1	1	1.0
que	pase	1	12	0.08333333333333333
pase	por	1	1	1.0
usted	?	1	9	0.1111111111111111
hora	estás	1	9	0.1111111111111111
estás	lista	1	1	1.0
lista	?	1	1	1.0
$	Solo	1	161	0.006211180124223602
Solo	agarro	1	1	1.0
agarro	mis	1	1	1.0
mis	cosas	1	1	1.0
cosas	y	1	1	1.0
que	acudiré	1	12	0.08333333333333333
acudiré	como	1	1	1.0
Si	gusta	1	2	0.5
gusta	paso	1	2	0.5
Voy	en	1	5	0.2
adecuado	mi	1	3	0.3333333333333333
$	Nada	1	161	0.006211180124223602
Nada	vas	1	1	1.0
vas	voy	1	2	0.5
voy	rapido	1	20	0.05
rapido	al	1	1	1.0
baño	#	1	2	0.5
Y	me	1	5	0.2
me	lanzo	1	6	0.16666666666666666
lanzo	por	1	1	1.0
por	isted	1	14	0.07142857142857142
isted	#	1	1	1.0
Jijo	mano	1	3	0.3333333333333333
mano	#	1	1	1.0
$	La	1	161	0.006211180124223602
La	verdad	1	1	1.0
verdad	la	1	2	0.5
la	verdad	1	6	0.16666666666666666
verdad	#	1	2	0.5
No	tengo	1	8	0.125
tengo	ganas	1	1	1.0
ganas	de	1	1	1.0
ir	JAJAJA	1	9	0.1111111111111111
JAJAJA	#	1	1	1.0
gente	?	1	3	0.3333333333333333
Y	arriba	1	5	0.2
arriba	hay	1	1	1.0
hay	muchos	1	3	0.3333333333333333
muchos	?	1	1	1.0
Ya	me	1	31	0.03225806451612903
me	andas	1	6	0.16666666666666666
andas	convenciendo	1	1	1.0
convenciendo	de	1	1	1.0
a	pensarlo	1	25	0.04
pensarlo	#	1	1	1.0
Ya	a	1	31	0.03225806451612903
a	partir	1	25	0.04
partir	de	1	1	1.0
de	ahorita	1	7	0.14285714285714285
ahorita	se	1	1	1.0
hasta	las	1	2	0.5
las	4-4:30	1	7	0.14285714285714285
4-4:30	#	1	1	1.0
2	camarada	1	6	0.16666666666666666
camarada	?	1	3	0.3333333333333333
